"","poverty_level","primary_focus_area","date_completed","total_price_excluding_optional_support","students_reached"
"3589","moderate poverty","Applied Learning","2014-10",102509.01,23624
"3590","high poverty","Health & Sports","2014-10",81177.8,23930
"3591","highest poverty","Health & Sports","2014-10",159395.5,64048
"3592","low poverty","Health & Sports","2014-10",6631.86,2926
"3593","moderate poverty","Health & Sports","2014-10",58449.42,21933
"3594","high poverty","History & Civics","2014-10",126377.04,17678
"3595","highest poverty","History & Civics","2014-10",293697.62,31172
"3596","low poverty","History & Civics","2014-10",24765.13,3890
"3597","moderate poverty","History & Civics","2014-10",106381.54,11169
"3598","high poverty","Literacy & Language","2014-10",1143419.57,118189
"3599","highest poverty","Literacy & Language","2014-10",2356587.88,220244
"3600","low poverty","Literacy & Language","2014-10",171141.97,8662
"3601","moderate poverty","Literacy & Language","2014-10",1013476.36,84173
"3602","high poverty","Math & Science","2014-10",1216097.45,136032
"3603","highest poverty","Math & Science","2014-10",2248017.9,222112
"3604","low poverty","Math & Science","2014-10",330171.17,20303
"3605","moderate poverty","Math & Science","2014-10",1283559.47,107498
"3606","high poverty","Music & The Arts","2014-10",405572.01,114067
"3607","highest poverty","Music & The Arts","2014-10",855532.05,286063
"3608","low poverty","Music & The Arts","2014-10",29697.05,10712
"3609","moderate poverty","Music & The Arts","2014-10",169282.6,56586
"3610","high poverty","Special Needs","2014-10",172444.4,6671
"3611","highest poverty","Special Needs","2014-10",324391.14,15907
"3612","low poverty","Special Needs","2014-10",17121.85,1541
"3613","moderate poverty","Special Needs","2014-10",177527.6,8188
"3614","high poverty","Applied Learning","2014-11",49297.37,11284
"3615","highest poverty","Applied Learning","2014-11",109465.3,20318
"3616","low poverty","Applied Learning","2014-11",3330.46,221
"3617","moderate poverty","Applied Learning","2014-11",49548.71,12507
"3618","high poverty","Health & Sports","2014-11",37919.38,12529
"3619","highest poverty","Health & Sports","2014-11",74898.03,32756
"3620","low poverty","Health & Sports","2014-11",979.32,1300
"3621","moderate poverty","Health & Sports","2014-11",18528.35,6818
"3622","high poverty","History & Civics","2014-11",24761.75,4775
"3623","highest poverty","History & Civics","2014-11",98298.19,14233
"3624","low poverty","History & Civics","2014-11",3474.5,720
"3625","moderate poverty","History & Civics","2014-11",25460.83,5209
"3626","high poverty","Literacy & Language","2014-11",339958.14,60167
"3627","highest poverty","Literacy & Language","2014-11",837286.14,117933
"3628","low poverty","Literacy & Language","2014-11",32327.19,3504
"3629","moderate poverty","Literacy & Language","2014-11",279802.79,36741
"3630","high poverty","Math & Science","2014-11",330080.52,46342
"3631","highest poverty","Math & Science","2014-11",620902.22,88363
"3632","low poverty","Math & Science","2014-11",63676.75,6982
"3633","moderate poverty","Math & Science","2014-11",360193.03,43096
"3634","high poverty","Music & The Arts","2014-11",101406.21,31799
"3635","highest poverty","Music & The Arts","2014-11",218878.99,70112
"3636","low poverty","Music & The Arts","2014-11",8966.44,3252
"3637","moderate poverty","Music & The Arts","2014-11",50669.08,18235
"3638","high poverty","Special Needs","2014-11",60862.59,3965
"3639","highest poverty","Special Needs","2014-11",119385.01,9031
"3640","low poverty","Special Needs","2014-11",4483.35,347
"3641","moderate poverty","Special Needs","2014-11",41676.49,1814
"3642","high poverty","Applied Learning","2014-12",125107.11,24023
"3643","highest poverty","Applied Learning","2014-12",351197.32,73244
"3644","low poverty","Applied Learning","2014-12",12282.97,2956
"3645","moderate poverty","Applied Learning","2014-12",103875.7,13809
"3646","high poverty","Health & Sports","2014-12",87796.53,40761
"3647","highest poverty","Health & Sports","2014-12",243831.49,93911
"3648","low poverty","Health & Sports","2014-12",9594.66,2788
"3649","moderate poverty","Health & Sports","2014-12",32879.85,12091
"3650","high poverty","History & Civics","2014-12",106660.98,15878
"3651","highest poverty","History & Civics","2014-12",272708.55,38884
"3652","low poverty","History & Civics","2014-12",11464.1,2527
"3653","moderate poverty","History & Civics","2014-12",65490.54,9960
"3654","high poverty","Literacy & Language","2014-12",909892.87,115458
"3655","highest poverty","Literacy & Language","2014-12",2778954.66,313165
"3656","low poverty","Literacy & Language","2014-12",115086.82,7002
"3657","moderate poverty","Literacy & Language","2014-12",561736.12,54942
"3658","high poverty","Math & Science","2014-12",865649.57,114303
"3659","highest poverty","Math & Science","2014-12",1801168.81,246835
"3660","low poverty","Math & Science","2014-12",116079.4,12514
"3661","moderate poverty","Math & Science","2014-12",606486.5,NA
"3662","high poverty","Music & The Arts","2014-12",258742.16,86861
"3663","highest poverty","Music & The Arts","2014-12",649326.51,241616
"3664","low poverty","Music & The Arts","2014-12",24756.4,7878
"3665","moderate poverty","Music & The Arts","2014-12",142811.78,45361
"3666","high poverty","Special Needs","2014-12",160116.85,7681
"3667","highest poverty","Special Needs","2014-12",427618.34,22787
"3668","low poverty","Special Needs","2014-12",11050.41,1425
"3669","moderate poverty","Special Needs","2014-12",107526.71,5702
"3670","high poverty","Applied Learning","2015-01",73736.47,11172
"3671","highest poverty","Applied Learning","2015-01",209736.3,38569
"3672","low poverty","Applied Learning","2015-01",15754.06,1667
"3673","moderate poverty","Applied Learning","2015-01",55156.26,6928
"3674","high poverty","Health & Sports","2015-01",39257.16,18325
"3675","highest poverty","Health & Sports","2015-01",78903.85,30572
"3676","low poverty","Health & Sports","2015-01",4099.12,647
"3677","moderate poverty","Health & Sports","2015-01",18534.96,7482
"3678","high poverty","History & Civics","2015-01",36356.76,6600
"3679","highest poverty","History & Civics","2015-01",135176.98,15242
"3680","low poverty","History & Civics","2015-01",1063.31,145
"3681","moderate poverty","History & Civics","2015-01",23983.14,3811
"3682","high poverty","Literacy & Language","2015-01",394925.95,59305
"3683","highest poverty","Literacy & Language","2015-01",1034212.81,123491
"3684","low poverty","Literacy & Language","2015-01",47034.2,5354
"3685","moderate poverty","Literacy & Language","2015-01",268976.94,28362
"3686","high poverty","Math & Science","2015-01",683877.51,65089
"3687","highest poverty","Math & Science","2015-01",792470.09,94410
"3688","low poverty","Math & Science","2015-01",65745.74,5531
"3689","moderate poverty","Math & Science","2015-01",650345.49,48965
"3690","high poverty","Music & The Arts","2015-01",104464.45,41797
"3691","highest poverty","Music & The Arts","2015-01",289258.43,101269
"3692","low poverty","Music & The Arts","2015-01",8876.54,3672
"3693","moderate poverty","Music & The Arts","2015-01",54598.04,25100
"3694","high poverty","Special Needs","2015-01",65876.77,4909
"3695","highest poverty","Special Needs","2015-01",152296.61,8512
"3696","low poverty","Special Needs","2015-01",6907.8,293
"3697","moderate poverty","Special Needs","2015-01",42698.52,3554
"3698","high poverty","Applied Learning","2015-02",93532.81,14137
"3699","highest poverty","Applied Learning","2015-02",221769.9,33799
"3700","low poverty","Applied Learning","2015-02",6933.39,793
"3701","moderate poverty","Applied Learning","2015-02",42951.86,10439
"3702","high poverty","Health & Sports","2015-02",39703.66,13813
"3703","highest poverty","Health & Sports","2015-02",97680.66,45845
"3704","low poverty","Health & Sports","2015-02",299.99,23
"3705","moderate poverty","Health & Sports","2015-02",13678.74,7138
"3706","high poverty","History & Civics","2015-02",116375.22,13981
"3707","highest poverty","History & Civics","2015-02",223778.65,23622
"3708","low poverty","History & Civics","2015-02",4473.8,1879
"3709","moderate poverty","History & Civics","2015-02",57333.09,5516
"3710","high poverty","Literacy & Language","2015-02",442134.18,53217
"3711","highest poverty","Literacy & Language","2015-02",995777.97,133834
"3712","low poverty","Literacy & Language","2015-02",42583.09,5875
"3713","moderate poverty","Literacy & Language","2015-02",294764.53,29021
"3714","high poverty","Math & Science","2015-02",396506.52,58955
"3715","highest poverty","Math & Science","2015-02",677371.89,103340
"3716","low poverty","Math & Science","2015-02",44716.29,6579
"3717","moderate poverty","Math & Science","2015-02",328148.02,43445
"3718","high poverty","Music & The Arts","2015-02",115092.88,40029
"3719","highest poverty","Music & The Arts","2015-02",265057.55,113114
"3720","low poverty","Music & The Arts","2015-02",7698.36,4306
"3721","moderate poverty","Music & The Arts","2015-02",46134.07,21786
"3722","high poverty","Special Needs","2015-02",76400.05,7175
"3723","highest poverty","Special Needs","2015-02",171650.18,11404
"3724","low poverty","Special Needs","2015-02",6328.7,304
"3725","moderate poverty","Special Needs","2015-02",55606.44,6679
"3726","high poverty","Applied Learning","2015-03",73166.02,18759
"3727","highest poverty","Applied Learning","2015-03",188051.61,28996
"3728","low poverty","Applied Learning","2015-03",6248.01,2100
"3729","moderate poverty","Applied Learning","2015-03",41861.05,6889
"3730","high poverty","Health & Sports","2015-03",25655.89,11951
"3731","highest poverty","Health & Sports","2015-03",88575.61,40698
"3732","low poverty","Health & Sports","2015-03",3260.54,1565
"3733","moderate poverty","Health & Sports","2015-03",18293.12,7679
"3734","high poverty","History & Civics","2015-03",209470.99,17979
"3735","highest poverty","History & Civics","2015-03",238137.66,27775
"3736","low poverty","History & Civics","2015-03",6962.37,624
"3737","moderate poverty","History & Civics","2015-03",78065.04,9742
"3738","high poverty","Literacy & Language","2015-03",474924.68,66925
"3739","highest poverty","Literacy & Language","2015-03",1009676.83,134117
"3740","low poverty","Literacy & Language","2015-03",32354.77,2258
"3741","moderate poverty","Literacy & Language","2015-03",283827.8,37349
"3742","high poverty","Math & Science","2015-03",409548.83,52303
"3743","highest poverty","Math & Science","2015-03",742115.91,94418
"3744","low poverty","Math & Science","2015-03",40108.78,3984
"3745","moderate poverty","Math & Science","2015-03",239711.71,35260
"3746","high poverty","Music & The Arts","2015-03",109978.38,48273
"3747","highest poverty","Music & The Arts","2015-03",259050.03,118556
"3748","low poverty","Music & The Arts","2015-03",3707.53,2923
"3749","moderate poverty","Music & The Arts","2015-03",49956.1,26070
"3750","high poverty","Special Needs","2015-03",60282.76,3710
"3751","highest poverty","Special Needs","2015-03",149380.52,10040
"3752","low poverty","Special Needs","2015-03",4123.65,479
"3753","moderate poverty","Special Needs","2015-03",49279.44,2586
"3754","high poverty","Applied Learning","2015-04",72252.68,8438
"3755","highest poverty","Applied Learning","2015-04",188532.01,29965
"3756","low poverty","Applied Learning","2015-04",10594.36,2665
"3757","moderate poverty","Applied Learning","2015-04",50584.02,7301
"3758","high poverty","Health & Sports","2015-04",21097.81,8993
"3759","highest poverty","Health & Sports","2015-04",68839.28,24283
"3760","low poverty","Health & Sports","2015-04",1890.82,1481
"3761","moderate poverty","Health & Sports","2015-04",9616.71,4172
"3762","high poverty","History & Civics","2015-04",106993.96,17556
"3763","highest poverty","History & Civics","2015-04",289805.54,33170
"3764","low poverty","History & Civics","2015-04",14690.76,1034
"3765","moderate poverty","History & Civics","2015-04",65302.51,8498
"3766","high poverty","Literacy & Language","2015-04",282132.96,42255
"3767","highest poverty","Literacy & Language","2015-04",762288.27,99835
"3768","low poverty","Literacy & Language","2015-04",23941.49,2449
"3769","moderate poverty","Literacy & Language","2015-04",186532.19,23654
"3770","high poverty","Math & Science","2015-04",531874.48,65379
"3771","highest poverty","Math & Science","2015-04",982473.68,102027
"3772","low poverty","Math & Science","2015-04",37059.1,4118
"3773","moderate poverty","Math & Science","2015-04",225871.38,33121
"3774","high poverty","Music & The Arts","2015-04",81362.19,31988
"3775","highest poverty","Music & The Arts","2015-04",199048.9,90053
"3776","low poverty","Music & The Arts","2015-04",10202.67,2172
"3777","moderate poverty","Music & The Arts","2015-04",39690.01,16852
"3778","high poverty","Special Needs","2015-04",53150.51,2693
"3779","highest poverty","Special Needs","2015-04",129137.61,8981
"3780","low poverty","Special Needs","2015-04",5153.33,210
"3781","moderate poverty","Special Needs","2015-04",34695.18,1834
"3782","moderate poverty","","2015-05",523.54,NA
"3783","high poverty","Applied Learning","2015-05",107233.97,17785
"3784","highest poverty","Applied Learning","2015-05",175626.91,34240
"3785","low poverty","Applied Learning","2015-05",19001.53,2441
"3786","moderate poverty","Applied Learning","2015-05",54851.53,10340
"3787","high poverty","Health & Sports","2015-05",34615.39,14116
"3788","highest poverty","Health & Sports","2015-05",101769.2,32347
"3789","low poverty","Health & Sports","2015-05",2879.97,1788
"3790","moderate poverty","Health & Sports","2015-05",16209.16,8659
"3791","high poverty","History & Civics","2015-05",97605.44,11464
"3792","highest poverty","History & Civics","2015-05",211362.19,26127
"3793","low poverty","History & Civics","2015-05",5533.97,735
"3794","moderate poverty","History & Civics","2015-05",33566.95,4220
"3795","high poverty","Literacy & Language","2015-05",384183.56,52242
"3796","highest poverty","Literacy & Language","2015-05",1019349.3,126490
"3797","low poverty","Literacy & Language","2015-05",39665.93,4630
"3798","moderate poverty","Literacy & Language","2015-05",229354.59,26912
"3799","high poverty","Math & Science","2015-05",364343.7,67988
"3800","highest poverty","Math & Science","2015-05",727669.18,110443
"3801","low poverty","Math & Science","2015-05",43980.18,6944
"3802","moderate poverty","Math & Science","2015-05",236918.53,29457
"3803","high poverty","Music & The Arts","2015-05",132986.26,54631
"3804","highest poverty","Music & The Arts","2015-05",270808.81,104742
"3805","low poverty","Music & The Arts","2015-05",8507.51,2256
"3806","moderate poverty","Music & The Arts","2015-05",46027.31,15447
"3807","high poverty","Special Needs","2015-05",75814.14,3650
"3808","highest poverty","Special Needs","2015-05",148417.88,8918
"3809","low poverty","Special Needs","2015-05",4800.63,166
"3810","moderate poverty","Special Needs","2015-05",49043.61,3667
"3811","high poverty","Applied Learning","2015-06",40723.15,6146
"3812","highest poverty","Applied Learning","2015-06",69229.35,14558
"3813","low poverty","Applied Learning","2015-06",1156.21,1295
"3814","moderate poverty","Applied Learning","2015-06",16772.9,3300
"3815","high poverty","Health & Sports","2015-06",14162.99,4437
"3816","highest poverty","Health & Sports","2015-06",61117.14,18250
"3817","low poverty","Health & Sports","2015-06",1092.49,1054
"3818","moderate poverty","Health & Sports","2015-06",12947.25,4360
"3819","high poverty","History & Civics","2015-06",63271.12,6247
"3820","highest poverty","History & Civics","2015-06",132997.92,15285
"3821","low poverty","History & Civics","2015-06",2480.56,486
"3822","moderate poverty","History & Civics","2015-06",31845.59,2125
"3823","high poverty","Literacy & Language","2015-06",166896.29,24935
"3824","highest poverty","Literacy & Language","2015-06",462722.56,61385
"3825","low poverty","Literacy & Language","2015-06",13567.21,2723
"3826","moderate poverty","Literacy & Language","2015-06",94706.59,11965
"3827","high poverty","Math & Science","2015-06",192301.32,32837
"3828","highest poverty","Math & Science","2015-06",453889.03,62071
"3829","low poverty","Math & Science","2015-06",16393.33,2622
"3830","moderate poverty","Math & Science","2015-06",156569.83,18659
"3831","high poverty","Music & The Arts","2015-06",46580.93,16166
"3832","highest poverty","Music & The Arts","2015-06",104189.42,41994
"3833","low poverty","Music & The Arts","2015-06",4258.2,899
"3834","moderate poverty","Music & The Arts","2015-06",23533.11,6341
"3835","high poverty","Special Needs","2015-06",27659.78,1078
"3836","highest poverty","Special Needs","2015-06",63982.37,5439
"3837","low poverty","Special Needs","2015-06",634.76,25
"3838","moderate poverty","Special Needs","2015-06",12335.17,683
"3839","high poverty","Applied Learning","2015-07",45976.64,11151
"3840","highest poverty","Applied Learning","2015-07",94640.07,18441
"3841","low poverty","Applied Learning","2015-07",8669.14,594
"3842","moderate poverty","Applied Learning","2015-07",25568.99,4940
"3843","high poverty","Health & Sports","2015-07",21594.4,6344
"3844","highest poverty","Health & Sports","2015-07",63274.63,19513
"3845","low poverty","Health & Sports","2015-07",2205.14,22
"3846","moderate poverty","Health & Sports","2015-07",10036.07,3201
"3847","high poverty","History & Civics","2015-07",16281.02,2750
"3848","highest poverty","History & Civics","2015-07",65251.8,11389
"3849","low poverty","History & Civics","2015-07",2140.61,200
"3850","moderate poverty","History & Civics","2015-07",10331.25,3043
"3851","high poverty","Literacy & Language","2015-07",273126.11,33448
"3852","highest poverty","Literacy & Language","2015-07",764267.3,88853
"3853","low poverty","Literacy & Language","2015-07",25147.97,3520
"3854","moderate poverty","Literacy & Language","2015-07",131857.44,15437
"3855","high poverty","Math & Science","2015-07",221622.84,38849
"3856","highest poverty","Math & Science","2015-07",480518.89,87161
"3857","low poverty","Math & Science","2015-07",11231.62,936
"3858","moderate poverty","Math & Science","2015-07",90284.23,12942
"3859","high poverty","Music & The Arts","2015-07",54420.58,23388
"3860","highest poverty","Music & The Arts","2015-07",118139.06,55617
"3861","low poverty","Music & The Arts","2015-07",3179.16,2639
"3862","moderate poverty","Music & The Arts","2015-07",24846.05,8976
"3863","high poverty","Special Needs","2015-07",39331.39,2031
"3864","highest poverty","Special Needs","2015-07",96962.2,5025
"3865","low poverty","Special Needs","2015-07",2063.66,68
"3866","moderate poverty","Special Needs","2015-07",15750.81,1308
"3867","high poverty","Applied Learning","2015-08",112924.37,20284
"3868","highest poverty","Applied Learning","2015-08",281994.87,42365
"3869","low poverty","Applied Learning","2015-08",15644.02,3191
"3870","moderate poverty","Applied Learning","2015-08",85265.35,16696
"3871","high poverty","Health & Sports","2015-08",102268.81,18473
"3872","highest poverty","Health & Sports","2015-08",225665.02,46071
"3873","low poverty","Health & Sports","2015-08",11109.99,3515
"3874","moderate poverty","Health & Sports","2015-08",137213.87,9469
"3875","high poverty","History & Civics","2015-08",115571.52,17997
"3876","highest poverty","History & Civics","2015-08",234198.09,35302
"3877","low poverty","History & Civics","2015-08",20932.84,1435
"3878","moderate poverty","History & Civics","2015-08",57085.1,8923
"3879","high poverty","Literacy & Language","2015-08",760227.43,99454
"3880","highest poverty","Literacy & Language","2015-08",1971818.11,218979
"3881","low poverty","Literacy & Language","2015-08",78471.64,7153
"3882","moderate poverty","Literacy & Language","2015-08",457319.89,54549
"3883","high poverty","Math & Science","2015-08",557136.45,103315
"3884","highest poverty","Math & Science","2015-08",1179654.16,181819
"3885","low poverty","Math & Science","2015-08",50537.75,5180
"3886","moderate poverty","Math & Science","2015-08",298984.17,49796
"3887","high poverty","Music & The Arts","2015-08",154234.77,71044
"3888","highest poverty","Music & The Arts","2015-08",357979.18,144140
"3889","low poverty","Music & The Arts","2015-08",8454.08,5987
"3890","moderate poverty","Music & The Arts","2015-08",71786.26,30460
"3891","high poverty","Special Needs","2015-08",77740.75,4782
"3892","highest poverty","Special Needs","2015-08",215178.76,13660
"3893","low poverty","Special Needs","2015-08",16540.67,1318
"3894","moderate poverty","Special Needs","2015-08",48167.34,3008
"3895","high poverty","Applied Learning","2015-09",160848.72,18064
"3896","highest poverty","Applied Learning","2015-09",376744.31,49212
"3897","low poverty","Applied Learning","2015-09",8760.29,834
"3898","moderate poverty","Applied Learning","2015-09",168855.6,17346
"3899","high poverty","Health & Sports","2015-09",52988.74,13026
"3900","highest poverty","Health & Sports","2015-09",169175.36,44529
"3901","low poverty","Health & Sports","2015-09",7342.1,1620
"3902","moderate poverty","Health & Sports","2015-09",28559.38,9702
"3903","high poverty","History & Civics","2015-09",241956.54,22249
"3904","highest poverty","History & Civics","2015-09",580260.6,48268
"3905","low poverty","History & Civics","2015-09",23848.78,3086
"3906","moderate poverty","History & Civics","2015-09",98296.25,9451
"3907","high poverty","Literacy & Language","2015-09",661414.17,74592
"3908","highest poverty","Literacy & Language","2015-09",1858479.45,200074
"3909","low poverty","Literacy & Language","2015-09",129449.6,12589
"3910","moderate poverty","Literacy & Language","2015-09",507164.3,46345
"3911","high poverty","Math & Science","2015-09",433328.6,77112
"3912","highest poverty","Math & Science","2015-09",1030383.61,161903
"3913","low poverty","Math & Science","2015-09",81402.82,17141
"3914","moderate poverty","Math & Science","2015-09",359932.97,54713
"3915","high poverty","Music & The Arts","2015-09",141759.85,67915
"3916","highest poverty","Music & The Arts","2015-09",357818.01,150909
"3917","low poverty","Music & The Arts","2015-09",17346.21,3656
"3918","moderate poverty","Music & The Arts","2015-09",59070.83,24337
"3919","high poverty","Special Needs","2015-09",84419.21,5064
"3920","highest poverty","Special Needs","2015-09",205743.45,13074
"3921","low poverty","Special Needs","2015-09",11085.69,274
"3922","moderate poverty","Special Needs","2015-09",62228.14,2713
"3923","highest poverty","","2015-10",2009.25,NA
"3924","high poverty","Applied Learning","2015-10",223357.94,45948
"3925","highest poverty","Applied Learning","2015-10",554585.75,82433
"3926","low poverty","Applied Learning","2015-10",31282.75,4090
"3927","moderate poverty","Applied Learning","2015-10",126371.08,25697
"3928","high poverty","Health & Sports","2015-10",101899.18,32800
"3929","highest poverty","Health & Sports","2015-10",253672.35,86798
"3930","low poverty","Health & Sports","2015-10",27809.73,9065
"3931","moderate poverty","Health & Sports","2015-10",83278.17,27539
"3932","high poverty","History & Civics","2015-10",165731.54,23134
"3933","highest poverty","History & Civics","2015-10",352320.78,51524
"3934","low poverty","History & Civics","2015-10",45152.27,4655
"3935","moderate poverty","History & Civics","2015-10",145506.22,24395
"3936","high poverty","Literacy & Language","2015-10",1149117.73,134823
"3937","highest poverty","Literacy & Language","2015-10",2553291.5,270821
"3938","low poverty","Literacy & Language","2015-10",232147.67,16846
"3939","moderate poverty","Literacy & Language","2015-10",982343.4,88427
"3940","high poverty","Math & Science","2015-10",1149597.36,171488
"3941","highest poverty","Math & Science","2015-10",2208507.33,299367
"3942","low poverty","Math & Science","2015-10",313337.77,36089
"3943","moderate poverty","Math & Science","2015-10",1086957.36,144599
"3944","high poverty","Music & The Arts","2015-10",258651.33,97313
"3945","highest poverty","Music & The Arts","2015-10",587335.29,244893
"3946","low poverty","Music & The Arts","2015-10",41049.1,17804
"3947","moderate poverty","Music & The Arts","2015-10",182833.28,67634
"3948","high poverty","Special Needs","2015-10",191720.36,11577
"3949","highest poverty","Special Needs","2015-10",380997.03,21517
"3950","low poverty","Special Needs","2015-10",33759.37,1518
"3951","moderate poverty","Special Needs","2015-10",171593.32,8529
"3952","highest poverty","","2015-11",943.44,NA
"3953","high poverty","Applied Learning","2015-11",108361.02,21598
"3954","highest poverty","Applied Learning","2015-11",257140.48,51318
"3955","low poverty","Applied Learning","2015-11",31582.53,1980
"3956","moderate poverty","Applied Learning","2015-11",57572.04,12875
"3957","high poverty","Health & Sports","2015-11",110605.33,28290
"3958","highest poverty","Health & Sports","2015-11",266262.84,66274
"3959","low poverty","Health & Sports","2015-11",16278.47,3754
"3960","moderate poverty","Health & Sports","2015-11",58767.03,15075
"3961","high poverty","History & Civics","2015-11",62634.69,13175
"3962","highest poverty","History & Civics","2015-11",160583.85,24431
"3963","low poverty","History & Civics","2015-11",6102.76,620
"3964","moderate poverty","History & Civics","2015-11",40709.91,8415
"3965","high poverty","Literacy & Language","2015-11",708224.44,77592
"3966","highest poverty","Literacy & Language","2015-11",1525747.07,179883
"3967","low poverty","Literacy & Language","2015-11",114843,8247
"3968","moderate poverty","Literacy & Language","2015-11",456794.06,44920
"3969","high poverty","Math & Science","2015-11",764865.24,111121
"3970","highest poverty","Math & Science","2015-11",1338268.6,188552
"3971","low poverty","Math & Science","2015-11",123742.68,22291
"3972","moderate poverty","Math & Science","2015-11",565463.69,71587
"3973","high poverty","Music & The Arts","2015-11",183881.18,64645
"3974","highest poverty","Music & The Arts","2015-11",367127.23,166128
"3975","low poverty","Music & The Arts","2015-11",16885.15,8639
"3976","moderate poverty","Music & The Arts","2015-11",92870.45,38955
"3977","high poverty","Special Needs","2015-11",205318.01,10624
"3978","highest poverty","Special Needs","2015-11",503393.65,27030
"3979","low poverty","Special Needs","2015-11",22412.89,1059
"3980","moderate poverty","Special Needs","2015-11",148458.01,7835
"3981","high poverty","Applied Learning","2015-12",212669.06,42655
"3982","highest poverty","Applied Learning","2015-12",479999.9,104572
"3983","low poverty","Applied Learning","2015-12",23496.51,3732
"3984","moderate poverty","Applied Learning","2015-12",84155.73,16697
"3985","high poverty","Health & Sports","2015-12",188514.45,46932
"3986","highest poverty","Health & Sports","2015-12",847364.71,134831
"3987","low poverty","Health & Sports","2015-12",24637.55,6036
"3988","moderate poverty","Health & Sports","2015-12",59338.11,18141
"3989","high poverty","History & Civics","2015-12",96181.78,18516
"3990","highest poverty","History & Civics","2015-12",246645.7,45994
"3991","low poverty","History & Civics","2015-12",10814.85,1870
"3992","moderate poverty","History & Civics","2015-12",40143.44,8104
"3993","high poverty","Literacy & Language","2015-12",915588.97,131442
"3994","highest poverty","Literacy & Language","2015-12",2597428.08,325387
"3995","low poverty","Literacy & Language","2015-12",127936.59,11530
"3996","moderate poverty","Literacy & Language","2015-12",579932.02,61594
"3997","high poverty","Math & Science","2015-12",860167.63,129022
"3998","highest poverty","Math & Science","2015-12",1758525.31,279760
"3999","low poverty","Math & Science","2015-12",90263.8,13686
"4000","moderate poverty","Math & Science","2015-12",494698.73,77549
"4001","high poverty","Music & The Arts","2015-12",289973.88,98992
"4002","highest poverty","Music & The Arts","2015-12",757190,240862
"4003","low poverty","Music & The Arts","2015-12",27126.33,10070
"4004","moderate poverty","Music & The Arts","2015-12",127560.57,44159
"4005","high poverty","Special Needs","2015-12",540911.14,34830
"4006","highest poverty","Special Needs","2015-12",1258274.04,69233
"4007","low poverty","Special Needs","2015-12",65253.34,3496
"4008","moderate poverty","Special Needs","2015-12",296886.21,15286
"4009","high poverty","Applied Learning","2016-01",72510.93,12797
"4010","highest poverty","Applied Learning","2016-01",218453.72,38612
"4011","low poverty","Applied Learning","2016-01",9367.84,1497
"4012","moderate poverty","Applied Learning","2016-01",77005.82,8832
"4013","high poverty","Health & Sports","2016-01",76344.68,16913
"4014","highest poverty","Health & Sports","2016-01",196047.45,50805
"4015","low poverty","Health & Sports","2016-01",9366.87,2449
"4016","moderate poverty","Health & Sports","2016-01",34562.99,8068
"4017","high poverty","History & Civics","2016-01",35274.66,7112
"4018","highest poverty","History & Civics","2016-01",143158.79,15325
"4019","low poverty","History & Civics","2016-01",1221.02,140
"4020","moderate poverty","History & Civics","2016-01",25926.07,3569
"4021","high poverty","Literacy & Language","2016-01",330639.42,41503
"4022","highest poverty","Literacy & Language","2016-01",895203.8,113580
"4023","low poverty","Literacy & Language","2016-01",52842.13,6887
"4024","moderate poverty","Literacy & Language","2016-01",214496.39,19695
"4025","high poverty","Math & Science","2016-01",385991.87,56647
"4026","highest poverty","Math & Science","2016-01",788073.16,113132
"4027","low poverty","Math & Science","2016-01",44770.02,5989
"4028","moderate poverty","Math & Science","2016-01",306161.29,38826
"4029","high poverty","Music & The Arts","2016-01",98915.49,33488
"4030","highest poverty","Music & The Arts","2016-01",263651.37,101986
"4031","low poverty","Music & The Arts","2016-01",8516.1,2504
"4032","moderate poverty","Music & The Arts","2016-01",36980.22,15791
"4033","high poverty","Special Needs","2016-01",53614.37,3133
"4034","highest poverty","Special Needs","2016-01",105403.46,6831
"4035","low poverty","Special Needs","2016-01",4244.66,250
"4036","moderate poverty","Special Needs","2016-01",34202.64,1737
"4037","high poverty","Applied Learning","2016-02",77992.91,12613
"4038","highest poverty","Applied Learning","2016-02",191664.48,32648
"4039","low poverty","Applied Learning","2016-02",8528.52,1903
"4040","moderate poverty","Applied Learning","2016-02",56853.66,17348
"4041","high poverty","Health & Sports","2016-02",75834.74,19088
"4042","highest poverty","Health & Sports","2016-02",264090.8,49473
"4043","low poverty","Health & Sports","2016-02",7357.19,1293
"4044","moderate poverty","Health & Sports","2016-02",47340.04,14104
"4045","high poverty","History & Civics","2016-02",47859.4,7577
"4046","highest poverty","History & Civics","2016-02",122560.64,19068
"4047","low poverty","History & Civics","2016-02",5590.58,515
"4048","moderate poverty","History & Civics","2016-02",46022.73,5260
"4049","high poverty","Literacy & Language","2016-02",382666.04,49855
"4050","highest poverty","Literacy & Language","2016-02",875563.03,129521
"4051","low poverty","Literacy & Language","2016-02",43823.64,4808
"4052","moderate poverty","Literacy & Language","2016-02",226749.18,30643
"4053","high poverty","Math & Science","2016-02",380788.07,63747
"4054","highest poverty","Math & Science","2016-02",833742.13,117946
"4055","low poverty","Math & Science","2016-02",71869.78,11269
"4056","moderate poverty","Math & Science","2016-02",230424.83,37932
"4057","high poverty","Music & The Arts","2016-02",137044.21,46408
"4058","highest poverty","Music & The Arts","2016-02",297360.85,105265
"4059","low poverty","Music & The Arts","2016-02",8309.62,2779
"4060","moderate poverty","Music & The Arts","2016-02",43387.48,16539
